artifact_role,requested_path,retained_path,exists,gzip_appended,multipart,part_index,part_count,size_bytes,sha256,complete_retained_sha256,reconstruction
root_model,results/gf_global_gini_tree_strict_flow_round/runs/stage2__high_imbalance_seed3202__plain__900s/global_root.lp,results/gf_global_gini_tree_strict_flow_round/runs/stage2__high_imbalance_seed3202__plain__900s/global_root.lp.gz,True,True,False,1,1,71310,86c965f964877103bfae0b9c6e4649c53de563fd4276b1d55a5ff71d877d9e16,86c965f964877103bfae0b9c6e4649c53de563fd4276b1d55a5ff71d877d9e16,none
node_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage2__high_imbalance_seed3202__plain__900s/global_node_trace.csv,,False,False,,,,,,,
bound_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage2__high_imbalance_seed3202__plain__900s/global_bound_trajectory.csv,,False,False,,,,,,,
row_delta_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage2__high_imbalance_seed3202__plain__900s/row_delta.csv,,False,False,,,,,,,
post_row_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage2__high_imbalance_seed3202__plain__900s/post_local_row_trace.csv,,False,False,,,,,,,
topology_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage2__high_imbalance_seed3202__plain__900s/gini_topology.csv,,False,False,,,,,,,
sibling_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage2__high_imbalance_seed3202__plain__900s/sibling_delay.csv,,False,False,,,,,,,
tree_memory_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage2__high_imbalance_seed3202__plain__900s/tree_memory.csv,,False,False,,,,,,,
mip_start_audit,results/gf_global_gini_tree_strict_flow_round/runs/stage2__high_imbalance_seed3202__plain__900s/mip_start_audit.csv,,False,False,,,,,,,
progress_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage2__high_imbalance_seed3202__plain__900s/progress.csv,,False,False,,,,,,,
lifecycle_manifest,results/gf_global_gini_tree_strict_flow_round/runs/stage2__high_imbalance_seed3202__plain__900s/model_lifecycle_manifest.csv,,False,False,,,,,,,
solver_result_pristine,results/gf_global_gini_tree_strict_flow_round/runs/stage2__high_imbalance_seed3202__plain__900s/solver_result_pristine.json,results/gf_global_gini_tree_strict_flow_round/runs/stage2__high_imbalance_seed3202__plain__900s/solver_result_pristine.json,True,False,False,1,1,62963,ff501fba48066353c3c91c04cad692c71cdbf1f8f6c0ccd37fdb8f36c35a0a91,ff501fba48066353c3c91c04cad692c71cdbf1f8f6c0ccd37fdb8f36c35a0a91,none
solver_log,results/gf_global_gini_tree_strict_flow_round/logs/stage2__high_imbalance_seed3202__plain__900s.log,results/gf_global_gini_tree_strict_flow_round/logs/stage2__high_imbalance_seed3202__plain__900s.log,True,False,False,1,1,179750,91ff3211726f98bb95f70dfe351ce89fa28fccf48872689f40287180514a86b9,91ff3211726f98bb95f70dfe351ce89fa28fccf48872689f40287180514a86b9,none
checkpoint_metrics,results/gf_global_gini_tree_strict_flow_round/runs/stage2__high_imbalance_seed3202__plain__900s/checkpoint_metrics.csv,results/gf_global_gini_tree_strict_flow_round/runs/stage2__high_imbalance_seed3202__plain__900s/checkpoint_metrics.csv,True,False,False,1,1,1184,5e875051dc8603cdf41cef93e8092c0e4ebaba542de8ac5b77893b5184497abf,5e875051dc8603cdf41cef93e8092c0e4ebaba542de8ac5b77893b5184497abf,none
stamped_result_json,results/gf_global_gini_tree_strict_flow_round/raw/stage2__high_imbalance_seed3202__plain__900s.json,results/gf_global_gini_tree_strict_flow_round/raw/stage2__high_imbalance_seed3202__plain__900s.json,True,False,False,1,1,63614,cfc8e8c47c562ff4d3d242ecd2c78e21158d4630f34ae8d8bdcceeec29e0c5fa,cfc8e8c47c562ff4d3d242ecd2c78e21158d4630f34ae8d8bdcceeec29e0c5fa,none
command_record,results/gf_global_gini_tree_strict_flow_round/commands/stage2__high_imbalance_seed3202__plain__900s.json,results/gf_global_gini_tree_strict_flow_round/commands/stage2__high_imbalance_seed3202__plain__900s.json,True,False,False,1,1,3070,b749c70383e3918518e1b8e7f3e5c67327b8ea8f04a64a598fdf96df4d9f74d2,b749c70383e3918518e1b8e7f3e5c67327b8ea8f04a64a598fdf96df4d9f74d2,none
