parent_id,eligible,decision_valid,split,child_infeasibility_trigger,strict_bound_trigger,normalized_disjunction_gain,parent_native_bound_target,target_phase_required,reason,b_plus,eta_proof,eta_anchor,normalization_source,normalization_upper_bound
L0,true,1,0,0,0,0,,0,"current_child_gain_not_strict",0.21777386189468928,0,0,"proof",0.70625309852907492
L1,true,1,0,0,0,0,,0,"current_child_gain_not_strict",0.35150292123882809,0,0,"proof",0.70625309852907492
L2,true,1,0,0,0,0,,0,"current_child_gain_not_strict",0.52806619587109693,0,0,"proof",0.70625309852907492
L3,true,1,1,1,0,,,0,"current_complete_child_infeasibility",0.70462947050336566,,,"proof",0.70625309852907492
L3.0,true,1,1,1,0,,,0,"current_complete_child_infeasibility",0.70462947050336566,,,"proof",0.70625309852907492
L3.0.0,true,1,1,1,0,,,0,"current_complete_child_infeasibility",0.70462947050336566,,,"proof",0.70625309852907492
L3.0.0.0,true,1,1,1,0,,,0,"current_complete_child_infeasibility",0.70462947050336566,,,"proof",0.70625309852907492
L3.0.0.0.0,true,1,1,1,0,,,0,"current_complete_child_infeasibility",0.70462947050336555,,,"proof",0.70625309852907492
L3.0.0.0.0.0,true,1,1,1,0,,,0,"current_complete_child_infeasibility",0.70462947050336544,,,"proof",0.70625309852907492
L3.0.0.0.0.0.0,true,1,0,0,0,0,,0,"current_child_gain_not_strict",0.70462947050336566,0,0,"proof",0.70625309852907492
