path,bytes,sha256
command.json,6498,cb887f4366c831b5637ca68746043426933dcac15da5f318bdcd1773b8de141f
console.stderr.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
console.stdout.log,111,9aa322fc3ab99036669f273c682f1221897e3576b2a86bb0c8fa1bd58255f0de
external/global_bound_trace.csv,2036,a980984057c9f0f18443965267f764d33204b69da63f5f45712796a146b6b780
external/lp_status_ledger.csv,223,f8e94ea6b13776418a588aee7ea8dbd3c574a2e011f453269b228101a2a75bb2
external/models/L0.lp,543592,5b179a540e76f48c7cf8c5d351cee130ab53e563e6e680a174e3b1c0d2a24c7c
external/native_logs/L0_c6_1_next_leaf_target_mip.gurobi.log,3872,a941ee8f6260b8ae9bfaab1dc7276d65777241129e39863cd17ce61cedf923ea
external/native_logs/L0_lp.gurobi.log,1413,d97d7bd75bc21940b42b00752a3407c3af54604fa42fcdb322d5a0091621c484
external/native_target_ledger.csv,363,fc97de2e6ed53f9bb1d75beba93d46c0fed295e3e0b2257c26b926bed9712acd
external/paper_leaf_ledger.csv,963,3b841c91f95444542a0324c4aa524dce9081c7506b40b5d065f34a305d3a4056
external/paper_optimize_ledger.csv,981,0a8c76f5b5a7af788b5f088dac44aa06bae85ad44ab567382b7fddac878a10b7
external/paper_tree_events.csv,167,a13e2725d9019a73c16cfc69656ad4615db1875aac060defb875ad4247923d35
external/parent_child_bound_ledger.csv,142,592697d120a1fddee0235fb4ea57be71c3163f59fc8f879c40fa211ef6212b2f
external/split_decision_ledger.csv,174,6dcc441aa409dc4f639610db4548e655a162d7a98fc104fec118d84f90702d09
heuristic_candidates.csv,734,1b723829a10e8d3dd984335d8ab645d81d23f13242f8d6b005e717799e95c631
native.log,859,e21b2a20711dc03341fe94cd27b6847487c71ef97254f6b80d1e253b13816fb2
process_phases.csv,3069,c0ee76f47b3fa9d1fca97e6e87464ec4aa4238dfb93387d60b08bf4f46a5a513
progress.csv,690,670b7eafd7df9873640697d2276d6632583e71a9978fb30049d0e4a88ded20a1
result.json,85231,fd7fb8a7eba43df48fb51774fd807b6ff449790ed850b6f2fb9f2adee5648dd9
