method,row_type,returncode,json_path,status,audit_passed,stdout_tail
tailored-bc-cut-validity-test,built_in_validity_test,0,results\gf_tailored_bc_low_gini_strengthening_round\raw\validity_tailored-bc-cut-validity-test.json,diagnostic_passed,True,gcap_smoke_V4_M1.txt tailored-bc-cut-validity-test diagnostic_passed obj=0.49 runtime=0.0012619 columns=0 
low-gini-l1-centering-test,built_in_validity_test,0,results\gf_tailored_bc_low_gini_strengthening_round\raw\validity_low-gini-l1-centering-test.json,diagnostic_passed,True,gcap_smoke_V4_M1.txt low-gini-l1-centering-test diagnostic_passed obj=0.49 runtime=0.0010405 columns=0 
gini-subset-envelope-test,built_in_validity_test,0,results\gf_tailored_bc_low_gini_strengthening_round\raw\validity_gini-subset-envelope-test.json,diagnostic_passed,True,gcap_smoke_V4_M1.txt gini-subset-envelope-test diagnostic_passed obj=0.49 runtime=0.0008668 columns=0 
transfer-cutset-validity-test,built_in_validity_test,0,results\gf_tailored_bc_low_gini_strengthening_round\raw\validity_transfer-cutset-validity-test.json,diagnostic_passed,True,gcap_smoke_V4_M1.txt transfer-cutset-validity-test diagnostic_passed obj=0.49 runtime=0.000892 columns=0 
s-bucket-coverage-test,built_in_validity_test,0,results\gf_tailored_bc_low_gini_strengthening_round\raw\validity_s-bucket-coverage-test.json,diagnostic_passed,True,gcap_smoke_V4_M1.txt s-bucket-coverage-test diagnostic_passed obj=0.49 runtime=0.0008746 columns=0 
interval-cutoff-oracle,round_json_cut_scan,,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_high_imbalance_seed3201_hard_best_combined_paper_safe_300s.json,interval_unresolved_timeout,True,families=subset_cross_h_centering|local_q_centering
interval-cutoff-oracle,round_json_cut_scan,,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_best_combined_paper_safe_1200s.json,interval_unresolved_timeout,True,families=subset_cross_h_centering|local_q_centering|required_external_source
interval-cutoff-oracle,round_json_cut_scan,,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_best_combined_paper_safe_300s.json,interval_unresolved_timeout,True,families=subset_cross_h_centering|local_q_centering|required_external_source
interval-cutoff-oracle,round_json_cut_scan,,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_best_combined_paper_safe_3600s.json,interval_unresolved_timeout,True,families=subset_cross_h_centering|local_q_centering|required_external_source
interval-cutoff-oracle,round_json_cut_scan,,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_best_combined_paper_safe_60s.json,interval_unresolved_timeout,True,families=subset_cross_h_centering|local_q_centering|required_external_source
interval-cutoff-oracle,round_json_cut_scan,,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_callback_local_q_centering_1200s.json,interval_unresolved_timeout,True,families=local_q_centering
interval-cutoff-oracle,round_json_cut_scan,,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_callback_local_q_centering_300s.json,interval_unresolved_timeout,True,families=local_q_centering
interval-cutoff-oracle,round_json_cut_scan,,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_callback_local_q_centering_60s.json,interval_unresolved_timeout,True,families=local_q_centering
interval-cutoff-oracle,round_json_cut_scan,,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_callback_required_external_source_300s.json,interval_unresolved_timeout,True,families=required_external_source
interval-cutoff-oracle,round_json_cut_scan,,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_callback_required_external_source_60s.json,interval_unresolved_timeout,True,families=required_external_source
interval-cutoff-oracle,round_json_cut_scan,,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_callback_s_bucket_diagnostic_300s.json,interval_closed,True,families=subset_cross_h_centering
interval-cutoff-oracle,round_json_cut_scan,,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_callback_s_bucket_diagnostic_60s.json,interval_closed,True,families=subset_cross_h_centering
interval-cutoff-oracle,round_json_cut_scan,,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_callback_subset_cross_h_centering_1200s.json,interval_unresolved_timeout,True,families=subset_cross_h_centering
interval-cutoff-oracle,round_json_cut_scan,,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_callback_subset_cross_h_centering_300s.json,interval_unresolved_timeout,True,families=subset_cross_h_centering
interval-cutoff-oracle,round_json_cut_scan,,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_callback_subset_cross_h_centering_60s.json,interval_unresolved_timeout,True,families=subset_cross_h_centering
interval-cutoff-oracle,round_json_cut_scan,,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_2_best_combined_paper_safe_300s.json,interval_unresolved_timeout,True,families=subset_cross_h_centering|local_q_centering|required_external_source
interval-cutoff-oracle,round_json_cut_scan,,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_moderate_seed3302_hard_best_combined_paper_safe_300s.json,interval_unresolved_timeout,True,families=subset_cross_h_centering|local_q_centering
interval-cutoff-oracle,round_json_cut_scan,,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_tight_T_seed3102_hard_best_combined_paper_safe_300s.json,interval_unresolved_timeout,True,families=subset_cross_h_centering|local_q_centering
