artifact_role,requested_path,retained_path,exists,gzip_appended,multipart,part_index,part_count,size_bytes,sha256,complete_retained_sha256,reconstruction
root_model,results/gf_global_gini_tree_strict_flow_round/runs/stage2__high_imbalance_seed3201__plain__900s/global_root.lp,results/gf_global_gini_tree_strict_flow_round/runs/stage2__high_imbalance_seed3201__plain__900s/global_root.lp.gz,True,True,False,1,1,71579,bd6fe3e7f1345c0a31b2773830906071a73e87e99ae07d1d2b6b587527f6837a,bd6fe3e7f1345c0a31b2773830906071a73e87e99ae07d1d2b6b587527f6837a,none
node_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage2__high_imbalance_seed3201__plain__900s/global_node_trace.csv,,False,False,,,,,,,
bound_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage2__high_imbalance_seed3201__plain__900s/global_bound_trajectory.csv,,False,False,,,,,,,
row_delta_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage2__high_imbalance_seed3201__plain__900s/row_delta.csv,,False,False,,,,,,,
post_row_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage2__high_imbalance_seed3201__plain__900s/post_local_row_trace.csv,,False,False,,,,,,,
topology_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage2__high_imbalance_seed3201__plain__900s/gini_topology.csv,,False,False,,,,,,,
sibling_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage2__high_imbalance_seed3201__plain__900s/sibling_delay.csv,,False,False,,,,,,,
tree_memory_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage2__high_imbalance_seed3201__plain__900s/tree_memory.csv,,False,False,,,,,,,
mip_start_audit,results/gf_global_gini_tree_strict_flow_round/runs/stage2__high_imbalance_seed3201__plain__900s/mip_start_audit.csv,,False,False,,,,,,,
progress_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage2__high_imbalance_seed3201__plain__900s/progress.csv,,False,False,,,,,,,
lifecycle_manifest,results/gf_global_gini_tree_strict_flow_round/runs/stage2__high_imbalance_seed3201__plain__900s/model_lifecycle_manifest.csv,,False,False,,,,,,,
solver_result_pristine,results/gf_global_gini_tree_strict_flow_round/runs/stage2__high_imbalance_seed3201__plain__900s/solver_result_pristine.json,results/gf_global_gini_tree_strict_flow_round/runs/stage2__high_imbalance_seed3201__plain__900s/solver_result_pristine.json,True,False,False,1,1,62648,ef4594c7549daf2e408f0c3ba187d689a175b1c44de9bb25706775139576ff78,ef4594c7549daf2e408f0c3ba187d689a175b1c44de9bb25706775139576ff78,none
solver_log,results/gf_global_gini_tree_strict_flow_round/logs/stage2__high_imbalance_seed3201__plain__900s.log,results/gf_global_gini_tree_strict_flow_round/logs/stage2__high_imbalance_seed3201__plain__900s.log,True,False,False,1,1,188134,1026eb8391e8a0ee43bcb66c5a00549904bb871ba9828b6a3248e5f55271e1b0,1026eb8391e8a0ee43bcb66c5a00549904bb871ba9828b6a3248e5f55271e1b0,none
checkpoint_metrics,results/gf_global_gini_tree_strict_flow_round/runs/stage2__high_imbalance_seed3201__plain__900s/checkpoint_metrics.csv,results/gf_global_gini_tree_strict_flow_round/runs/stage2__high_imbalance_seed3201__plain__900s/checkpoint_metrics.csv,True,False,False,1,1,1181,a48f61d3f1c2cfe89da51c15578a06ab7e17effb2adb0f46942bb964e6eab275,a48f61d3f1c2cfe89da51c15578a06ab7e17effb2adb0f46942bb964e6eab275,none
stamped_result_json,results/gf_global_gini_tree_strict_flow_round/raw/stage2__high_imbalance_seed3201__plain__900s.json,results/gf_global_gini_tree_strict_flow_round/raw/stage2__high_imbalance_seed3201__plain__900s.json,True,False,False,1,1,63033,6ac05a84b92a74914f136aacf6313db893ff77e9fa6536d574238ed200b31e4a,6ac05a84b92a74914f136aacf6313db893ff77e9fa6536d574238ed200b31e4a,none
command_record,results/gf_global_gini_tree_strict_flow_round/commands/stage2__high_imbalance_seed3201__plain__900s.json,results/gf_global_gini_tree_strict_flow_round/commands/stage2__high_imbalance_seed3201__plain__900s.json,True,False,False,1,1,3070,6e46dbdc79eccf8e98347cf53cf8f1dc0c86d7ab6ae9ffb81351902ce3f5f242,6e46dbdc79eccf8e98347cf53cf8f1dc0c86d7ab6ae9ffb81351902ce3f5f242,none
